directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,test_to_log,cursor_visibility,rotation,trial_type,target_angle,example_object_movement_filename
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,96,2,64,409.7481,413.2261,A,True,30,rotated_1_1,140,example_object_movement_T096.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,97,2,65,413.2261,417.3819,A,True,30,rotated_1_1,130,example_object_movement_T097.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,98,2,66,417.3819,421.9482,A,True,30,rotated_1_1,140,example_object_movement_T098.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,99,2,67,421.9482,426.8263,A,True,30,rotated_1_1,130,example_object_movement_T099.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,100,2,68,426.8263,431.0488,A,True,30,rotated_1_1,140,example_object_movement_T100.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,101,2,69,431.0488,435.0486,A,True,30,rotated_1_1,130,example_object_movement_T101.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,102,2,70,435.0486,438.9264,A,True,30,rotated_1_1,140,example_object_movement_T102.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,103,2,71,438.9264,443.1708,A,True,30,rotated_1_1,130,example_object_movement_T103.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,104,2,72,443.1708,446.971,A,True,30,rotated_1_1,140,example_object_movement_T104.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,105,2,73,446.971,451.171,A,True,30,rotated_1_1,140,example_object_movement_T105.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,106,2,74,451.171,454.8265,A,True,30,rotated_1_1,130,example_object_movement_T106.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,107,2,75,454.8265,462.3491,A,True,30,rotated_1_1,130,example_object_movement_T107.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,108,2,76,462.3491,466.8601,A,True,30,rotated_1_1,140,example_object_movement_T108.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,109,2,77,466.8601,475.9047,A,True,30,rotated_1_1,140,example_object_movement_T109.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,110,2,78,475.9047,481.2825,A,True,30,rotated_1_1,130,example_object_movement_T110.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,111,2,79,481.2825,488.6604,A,True,30,rotated_1_1,130,example_object_movement_T111.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,112,2,80,488.6604,496.6827,A,True,30,rotated_1_1,140,example_object_movement_T112.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,113,2,81,496.6827,499.9492,A,True,30,rotated_1_1,130,example_object_movement_T113.csv
